# GPU memory: 5980.68 MB free / 6088.36 MB total
# TILE=64 WPT=4

N,Time_ms,GFLOPS,Memory_MB
64,0.0085,61.5940,0.01
128,0.0130,321.8860,0.05
192,0.0171,825.6215,0.11
256,0.0214,1564.5718,0.20
320,0.0422,1554.8132,0.31
384,0.0494,2292.6561,0.44
448,0.0823,2185.8076,0.60
512,0.1214,2210.3205,0.79
576,0.1664,2297.3525,1.00
640,0.1863,2814.2500,1.23
704,0.2787,2503.8008,1.49
768,0.3478,2605.2297,1.77
832,0.4198,2743.5707,2.08
896,0.5001,2876.8505,2.41
960,0.6354,2784.6265,2.76
1024,0.7334,2928.1654,3.15
1088,0.8952,2877.5202,3.55
1152,1.0694,2859.3503,3.98
1216,1.2553,2864.6335,4.44
1280,1.3950,3006.5694,4.92
1344,1.6658,2914.7321,5.42
1408,1.9071,2927.3244,5.95
1472,2.1514,2965.0801,6.50
1536,2.4106,3006.5576,7.08
1600,2.7621,2965.8944,7.68
1664,3.0545,3016.7829,8.31
1728,3.4469,2993.8511,8.96
1792,3.8558,2984.8917,9.63
1856,4.2695,2994.9330,10.33
1920,4.6565,3039.9789,11.06
1984,5.1939,3007.1750,11.81
2048,5.7158,3005.6764,12.58
2112,6.2406,3019.1479,13.38
2176,6.7830,3037.9787,14.20
2240,7.4526,3016.2364,15.05
2304,8.0457,3040.2984,15.93
2368,8.7666,3029.3051,16.82
2432,9.5167,3022.9780,17.74
2496,10.2434,3036.1384,18.69
2560,10.9957,3051.6085,19.66
2624,11.8767,3042.4647,20.66
2688,12.1846,3187.9196,21.68
2752,12.1735,3424.2170,22.72
2816,12.9509,3448.4876,23.79
2880,13.8295,3454.6279,24.88
2944,14.9950,3403.2827,26.00
3008,15.9111,3421.0865,27.14
3072,16.8233,3446.5390,28.31
3136,18.0883,3410.0389,29.50
3200,19.0638,3437.7240,30.72
3264,20.4106,3407.4124,31.96
3328,21.5583,3419.5235,33.23
3392,22.9132,3406.5299,34.52
3456,24.1250,3422.0316,35.83
3520,25.5476,3414.3526,37.17
3584,26.9112,3421.3725,38.54
3648,28.3840,3420.7473,39.92
3712,29.8861,3422.8289,41.34
3776,31.4261,3426.3748,42.77
3840,33.0170,3429.9413,44.24
3904,34.6789,3431.5774,45.72
3968,36.4356,3429.4115,47.24
4032,38.0459,3445.7462,48.77
4096,40.1395,3424.0283,50.33
4160,41.7393,3449.5718,51.92
4224,43.8940,3433.9734,53.53
4288,46.0770,3422.2349,55.16
4352,48.1814,3421.5044,56.82
4416,50.2544,3427.2260,58.50
4480,52.4566,3428.1795,60.21
4544,54.8780,3419.3745,61.94
4608,57.1312,3425.2632,63.70
4672,59.6891,3416.9884,65.48
4736,61.9988,3426.7462,67.29
4800,64.5292,3427.6565,69.12
4864,67.1471,3427.5462,70.98
4928,69.8373,3427.3217,72.86
4992,72.5155,3431.0148,74.76
5056,75.3523,3430.4792,76.69
5120,78.2115,3432.1743,78.64
5184,81.1911,3431.7565,80.62
5248,84.2413,3431.5171,82.62
5312,87.3873,3430.4881,84.65
5376,90.6011,3429.8451,86.70
5440,94.0277,3424.2943,88.78
5504,97.5301,3419.2174,90.88
5568,100.8791,3422.3665,93.01
5632,104.4745,3419.8549,95.16
5696,108.0786,3419.7958,97.33
5760,112.0033,3412.4523,99.53
5824,115.6296,3416.8434,101.76
5888,119.6365,3412.4770,104.01
5952,123.9159,3403.2331,106.28
6016,128.4732,3389.5416,108.58
6080,133.1093,3377.0103,110.90
6144,137.2794,3378.9229,113.25
6208,142.0285,3369.0663,115.62
6272,146.2209,3374.7266,118.01
6336,151.1793,3364.9858,120.43
6400,155.8283,3364.5231,122.88
6464,160.4694,3366.2149,125.35
6528,165.4296,3363.2354,127.84
6592,170.4422,3361.2776,130.36
6656,175.1624,3366.8912,132.91
6720,180.2646,3366.8776,135.48
6784,185.5138,3365.9788,138.07
6848,190.8791,3364.8285,140.69
6912,196.2542,3365.2872,143.33
6976,201.7554,3365.3040,145.99
7040,207.0491,3370.3470,148.68
7104,213.2130,3362.9872,151.40
7168,218.7845,3366.7227,154.14
7232,225.0010,3362.1784,156.91
7296,230.6883,3367.1220,159.69
7360,237.2697,3360.6329,162.51
7424,243.3438,3362.9754,165.35
7488,249.6389,3363.6838,168.21
7552,256.8003,3354.4427,171.10
7616,263.1290,3357.7012,174.01
7680,271.0315,3342.6734,176.95
7744,278.2744,3337.7419,179.91
7808,285.3877,3335.9091,182.89
7872,291.4425,3347.5911,185.91
7936,298.8423,3344.9750,188.94
8000,307.4512,3330.6095,192.00
8064,314.3023,3336.8296,195.08
8128,322.1386,3333.7905,198.19
8192,329.6661,3335.2283,201.33
8256,337.6623,3333.1622,204.48
8320,345.6301,3332.6401,207.67
8384,353.7485,3331.8785,210.87
8448,361.9127,3331.8686,214.11
8512,370.3953,3330.1161,217.36
8576,378.8216,3330.0410,220.64
8640,387.6731,3327.4042,223.95
8704,396.2010,3328.6729,227.28
8768,405.5356,3324.3182,230.63
8832,414.3000,3325.7703,234.01
8896,423.9836,3320.9720,237.42
8960,433.9477,3315.2530,240.84
9024,443.1642,3316.3667,244.30
9088,453.1847,3312.5295,247.78
9152,462.4224,3315.4245,251.28
9216,472.9657,3309.9979,254.80
9280,482.1650,3314.9598,258.36
9344,492.0798,3315.8350,261.93
